ServicePlanId, ServicePlanName
5141c408-df3d-456a-9878-a65119b0a750, CDS_UNATTENDED_RPA_GCC
0a0a23fa-fea1-4195-bb89-b4789cb12f7f, CDS_VIRTUAL_AGENT_BASE
e4d0b25d-e440-4ee9-aac4-1d5a5db9f3ef, CDS_Virtual_Agent_Base_Gov
5dd1819f-0de7-487f-985b-c450a4c9cc1d, CDS_VIRTUAL_AGENT_BASE_MESSAGES
cb867b3c-7f38-4d0d-99ce-e29cd69812c8, CDS_VIRTUAL_AGENT_USL
95df1203-fee7-4726-b7e1-8037a8e899eb, CDS_Virtual_Agent_Usl_GCC
bcc0702e-ba97-48d9-ae04-fa8689c53bba, CDS_Virtual_Agent_Usl_Gov
a7c70a41-5e02-4271-93e6-d9b4184d83f5, CDSAICAPACITY
5d7a2e9a-4ee5-4f1c-bc9f-abc481bf39d8, CDSAICAPACITY_PERAPP
91f50f7b-2204-4803-acac-5cf5668b8b39, CDSAICAPACITY_PERUSER
74d93933-6f22-436e-9441-66d205435abb, CDSAICAPACITY_PERUSER_NEW
a1ace008-72f3-4ea0-8dac-33b3a23a2472, CLIPCHAMP
430b908f-78e1-4812-b045-cf83320e7d5d, CLIPCHAMP_PREMIUM
a312bdeb-1e21-40d0-84b1-0e73f128144f, COMMON_DEFENDER_PLATFORM_FOR_OFFICE
41fcdd7d-4733-4863-9cf4-c65b83ce2df4, COMMUNICATIONS_COMPLIANCE
6dc145d6-95dd-4191-b9c3-185575ee6f6b, COMMUNICATIONS_DLP
3a117d30-cfac-4f00-84ac-54f8b6a18d78, COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON
d9fa6af4-e046-4c89-9226-729a0786685d, Content_Explorer
2b815d45-56e4-4e3a-b65c-66cb9175b560, ContentExplorer_Standard
fe6c28b3-d468-44ea-bbd0-a10a5167435c, COPILOT_STUDIO_IN_COPILOT_FOR_M365
c815c93d-0759-4bb8-b857-bc921a71be83, CORTEX
545e3611-3af8-49a5-9a0a-b7867968f4b0, CPC_1
3efff3fe-528a-4fc5-b1ba-845802cc764f, CPC_2
37c961db-2cfd-4e13-b81e-b0059ce10e34, CPC_B_16C_64GB_1TB
cbbedc49-52d5-4fd6-82ac-a5bc51634dc3, CPC_B_16C_64GB_512GB
3b98b912-1720-4a1e-9630-c9a41dbb61d8, CPC_B_1C_2RAM_64GB
1a13832e-cd79-497d-be76-24186f55c8b0, CPC_B_2C_4RAM_128GB
a0b1c075-51c9-4a42-b34c-308f3993bb7e, CPC_B_2C_4RAM_256GB
a790cd6e-a153-4461-83c7-e127037830b6, CPC_B_2C_4RAM_64GB
1a3ef005-2ef6-434b-8be1-faa56c892854, CPC_B_2C_8RAM_256GB
1d4f75d3-a19b-49aa-88cb-f1ea1690b550, CPC_B_4C_16RAM_128GB
30f6e561-8805-41d0-80ce-f82698b72d7d, CPC_B_4C_16RAM_256GB
15499661-b229-4a1f-b0f9-bd5832ef7b3e, CPC_B_4C_16RAM_512GB
648005fc-b330-4bd9-8af6-771f28958ac0, CPC_B_8C_32RAM_128GB
d7a5113a-0276-4dc2-94f8-ca9f2c5ae078, CPC_B_8C_32RAM_256GB
4229a0b4-7f34-4835-b068-6dc8d10be57c, CPC_B_8C_32RAM_512GB
86d70dbb-d4c6-4662-ba17-3014204cbb28, CPC_E_1C_2GB_64GB
0d143570-9b92-4f57-adb5-e4efcd23b3bb, CPC_E_2C_4GB_256GB
23a25099-1b2f-4e07-84bd-b84606109438, CPC_E_2C_4GB_64GB
d3468c8c-3545-4f44-a32f-b465934d2498, CPC_E_2C_8GB_256GB
2de9c682-ca3f-4f2b-b360-dfc4775db133, CPC_E_4C_16GB_128GB
9ecf691d-8b82-46cb-b254-cd061b2c02fb, CPC_E_4C_16GB_256GB
3bba9856-7cf2-4396-904a-00de74fba3a4, CPC_E_4C_16GB_512GB
2f3cdb12-bcde-4e37-8529-e9e09ec09e23, CPC_E_8C_32GB_128GB
69dc175c-dcff-4757-8389-d19e76acb45d, CPC_E_8C_32GB_256GB
0e837228-8250-4047-8a80-d4a34ba11658, CPC_E_8C_32GB_512GB
51855c77-4d2e-4736-be67-6dca605f2b57, CPC_S_2C_4GB_128GB
